OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date,Occurence_Time
1026,1290273,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6A,1041,2018-01-15T08:00:00.000Z,00:22:42
1027,1290274,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,2,2A,0515,2018-01-15T08:00:00.000Z,00:22:00
1028,1290278,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0736,2018-01-06T08:00:00.000Z,00:20:00
1029,1290280,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0728,2018-01-07T08:00:00.000Z,00:00:00
1030,1290282,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6A,1014,2018-01-07T08:00:00.000Z,00:09:00
1031,1290283,2501,0,FORGERY,470(D) FORGERY - CHECKS ETC,3,3M,0735,2018-01-02T08:00:00.000Z,00:08:00
1032,1290284,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,1326,2018-01-18T08:00:00.000Z,00:09:00
1033,1290285,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,6,6B,1054,2018-01-09T08:00:00.000Z,00:08:00
1034,1290287,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0725,2018-01-14T08:00:00.000Z,00:22:00
1035,1290288,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5C,1639,2018-01-16T08:00:00.000Z,00:08:12
1036,1290295,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0517,2018-01-06T08:00:00.000Z,00:18:00
1037,1290299,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0788,2018-01-07T08:00:00.000Z,00:00:45
1038,1290301,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0777,2018-01-08T08:00:00.000Z,00:08:45
1039,1290302,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,0737,2018-01-16T08:00:00.000Z,00:08:20
1040,1290303,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0735,2018-01-06T08:00:00.000Z,00:00:15
1041,1290305,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0478,2018-01-07T08:00:00.000Z,00:00:00
1042,1290306,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1A,0103,2018-01-01T08:00:00.000Z,00:00:00
1043,1290307,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0113,2018-01-07T08:00:00.000Z,00:02:00
1044,1290314,2999,091,TAMPERING,10852 VC VEHICLE TAMPERING,4,4C,1294,2018-01-04T08:00:00.000Z,00:19:35
1045,1290315,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0616,2018-01-16T08:00:00.000Z,00:22:46
1046,1290321,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0443,2018-01-08T08:00:00.000Z,00:07:45
1047,1290324,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0923,2018-01-04T08:00:00.000Z,00:03:00
1048,1290325,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0104,2018-01-05T08:00:00.000Z,00:03:21
1049,1290327,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1391,2018-01-15T08:00:00.000Z,00:16:30
1050,1290329,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2A,0226,2018-01-06T08:00:00.000Z,00:00:00
1051,1290337,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0774,2018-01-17T08:00:00.000Z,00:21:00
1052,1290340,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0835,2018-01-05T08:00:00.000Z,00:06:13
1053,1290341,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0411,2018-01-03T08:00:00.000Z,00:12:55
1054,1290342,999,1,HOMICIDE,187(A) HOMICIDE,3,3A,0721,2018-01-17T08:00:00.000Z,00:08:43
1055,1290343,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,5,5B,1614,2018-01-08T08:00:00.000Z,00:12:00
1056,1290344,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0766,2018-01-05T08:00:00.000Z,00:20:25
1057,1290346,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,6,6B,1007,2018-01-18T08:00:00.000Z,00:11:55
1058,1290347,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0106,2018-01-08T08:00:00.000Z,00:17:55
1059,1290348,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0444,2018-01-17T08:00:00.000Z,00:18:00
1060,1290349,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1618,2018-01-08T08:00:00.000Z,00:14:20
1061,1290354,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0558,2018-01-01T08:00:00.000Z,00:19:25
1062,1290357,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,3,3B,0748,2018-01-05T08:00:00.000Z,00:23:00
1063,1290358,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0232,2018-01-17T08:00:00.000Z,00:13:56
1064,1290359,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,2,2A,0503,2018-01-18T08:00:00.000Z,00:00:46
1065,1290362,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,0855,2018-01-09T08:00:00.000Z,00:12:30
1066,1290363,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0604,2018-01-15T08:00:00.000Z,00:17:00
1067,1290365,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0747,2018-01-08T08:00:00.000Z,00:22:00
1068,1290367,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0422,2018-01-09T08:00:00.000Z,00:07:30
1069,1290368,7399,62,SAC CITY CODE,12.52.030(A) UNLAWFUL CAMP-PUB,1,1C,0419,2018-01-18T08:00:00.000Z,00:11:15
1070,1290369,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3B,0738,2018-01-15T08:00:00.000Z,00:14:26
1071,1290370,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1427,2018-01-14T08:00:00.000Z,00:12:00
1072,1290371,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2018-01-08T08:00:00.000Z,00:18:30
1073,1290372,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1272,2018-01-08T08:00:00.000Z,00:20:00
1074,1290373,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2018-01-08T08:00:00.000Z,00:18:45
1075,1290374,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0727,2018-01-08T08:00:00.000Z,00:17:45
1076,1290375,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0955,2018-01-08T08:00:00.000Z,00:16:00
1077,1290377,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0916,2018-01-07T08:00:00.000Z,00:20:00
1078,1290379,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,0926,2018-01-07T08:00:00.000Z,00:12:00
1079,1290380,2399,2,LARCENY,484 PC PETTY THEFT,2,2B,0532,2018-01-15T08:00:00.000Z,00:16:00
1080,1290381,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6C,1403,2018-01-08T08:00:00.000Z,00:07:40
1081,1290382,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0784,2018-01-09T08:00:00.000Z,00:17:35
1082,1290383,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1398,2018-01-05T08:00:00.000Z,00:12:00
1083,1290384,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2C,0612,2018-01-07T08:00:00.000Z,00:23:55
1084,1290385,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0435,2018-01-03T08:00:00.000Z,00:06:30
1085,1290387,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1C,0406,2018-01-10T08:00:00.000Z,00:17:55
1086,1290388,2699,28,FRAUD,537(A)(1) DEFRAD INNKEEP <$400,4,4A,0909,2018-01-18T08:00:00.000Z,00:16:30
1087,1290389,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2B,0552,2018-01-13T08:00:00.000Z,00:13:03
1088,1290390,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0145,2018-01-10T08:00:00.000Z,00:16:00
1089,1290391,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,0985,2018-01-13T08:00:00.000Z,00:20:05
1090,1290392,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0603,2018-01-14T08:00:00.000Z,00:10:54
1091,1290393,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2018-01-09T08:00:00.000Z,00:17:30
1092,1290394,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0348,2018-01-09T08:00:00.000Z,00:20:55
1093,1290396,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,3,3A,0763,2018-01-08T08:00:00.000Z,00:01:10
1094,1290397,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0478,2018-01-10T08:00:00.000Z,00:02:57
1095,1290398,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2B,0563,2018-01-18T08:00:00.000Z,00:08:40
1096,1290399,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0617,2018-01-17T08:00:00.000Z,00:18:00
1097,1290400,5201,3,WEAPON OFFENSE,23900 ALTER MRKS ON FIREARM,4,4A,0936,2018-01-17T08:00:00.000Z,00:10:40
1098,1290405,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6A,1034,2018-01-16T08:00:00.000Z,00:23:07
1099,1290409,5404,17,TRAFFIC,23152(F) DUI ALCOHOL AND DRUGS,5,5B,1359,2018-01-17T08:00:00.000Z,00:10:28
1100,1290410,5212,59,WEAPON OFFENSE,"22210 POSS BILLYCLUB, SAP, ETC",2,2B,0563,2018-01-17T08:00:00.000Z,00:15:48
1101,1290412,5299,119,WEAPON OFFENSE,22810(A) FEL POSS TEARGAS-FEL,2,2B,0553,2018-01-17T08:00:00.000Z,00:16:28
1102,1290413,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,6,6C,1406,2018-01-17T08:00:00.000Z,00:23:22
1103,1290414,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3B,0746,2018-01-18T08:00:00.000Z,00:01:40
1104,1290416,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,5,5B,1614,2018-01-18T08:00:00.000Z,00:06:56
1105,1290417,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,5,5C,1642,2018-01-18T08:00:00.000Z,00:07:10
1106,1290421,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0744,2018-01-18T08:00:00.000Z,00:09:05
1107,1290422,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1406,2018-01-16T08:00:00.000Z,00:15:30
1108,1290424,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,1,1C,0309,2018-01-18T08:00:00.000Z,00:12:09
1109,1290427,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,1,1A,0337,2018-01-18T08:00:00.000Z,00:14:07
1110,1290429,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,2,2A,0233,2018-01-18T08:00:00.000Z,00:15:36
1111,1290432,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0725,2018-01-17T08:00:00.000Z,00:23:04
1112,1290435,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0735,2018-01-18T08:00:00.000Z,00:12:33
1113,1290436,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0401,2018-01-18T08:00:00.000Z,00:17:20
1114,1290437,5403,2,TRAFFIC,23153(F) DUI DRUGS W/INJ,1,1A,0104,2018-01-18T08:00:00.000Z,00:18:09
1115,1290441,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2A,0509,2018-01-18T08:00:00.000Z,00:15:59
1116,1290444,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3B,0746,2018-01-18T08:00:00.000Z,00:18:22
1117,1290447,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,2,2C,0603,2018-01-18T08:00:00.000Z,00:19:46
1118,1290448,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,2,2A,0221,2018-01-18T08:00:00.000Z,00:23:00
1119,1290452,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0785,2018-01-12T08:00:00.000Z,00:22:15
1120,1290453,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6C,1132,2018-01-17T08:00:00.000Z,00:01:51
1121,1290454,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0601,2018-01-19T08:00:00.000Z,00:00:50
1122,1290455,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6A,1041,2018-01-11T08:00:00.000Z,00:07:02
1123,1290460,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,2,2A,0512,2018-01-15T08:00:00.000Z,00:05:00
1124,1290462,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,4,4C,1292,2018-01-17T08:00:00.000Z,00:09:00
1125,1290463,2310,0,LARCENY,1708 US THEFT OF MAIL,2,2A,0222,2018-01-16T08:00:00.000Z,00:11:00
1126,1290464,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,3,3A,0785,2018-01-11T08:00:00.000Z,00:22:11
1127,1290466,2605,7,FRAUD,484G(A)PC USE FORGED CARD,5,5C,1623,2018-01-16T08:00:00.000Z,00:10:00
1128,1290471,2399,10,LARCENY,487E GRAND THEFT-DOG >$950,2,2C,0602,2018-01-18T08:00:00.000Z,00:11:40
1129,1290473,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0344,2018-01-05T08:00:00.000Z,00:09:00
1130,1290474,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0924,2018-01-10T08:00:00.000Z,00:02:00
1131,1290477,3699,25,SEX REGISTRATI,290.015 FAIL REG-UPON REL JAIL,3,3A,0701,2018-01-11T08:00:00.000Z,00:16:00
1132,1290488,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,0967,2018-01-10T08:00:00.000Z,00:15:35
1133,1290489,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0738,2018-01-18T08:00:00.000Z,00:16:00
1134,1290491,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0106,2018-01-10T08:00:00.000Z,00:04:53
1135,1290492,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,0935,2018-01-08T08:00:00.000Z,00:23:15
1136,1290493,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1326,2018-01-18T08:00:00.000Z,00:17:00
1137,1290496,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0308,2018-01-06T08:00:00.000Z,00:00:00
1138,1290497,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6E,0877,2018-01-05T08:00:00.000Z,00:21:00
1139,1290499,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0343,2018-01-05T08:00:00.000Z,00:21:15
1140,1290500,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1614,2018-01-18T08:00:00.000Z,00:21:00
1141,1290502,1313,0,ASSAULT,240 PC ASSAULT/SIMPLE-CIVILIAN,2,2B,0563,2018-01-19T08:00:00.000Z,00:10:00
1142,1290504,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1445,2018-01-18T08:00:00.000Z,00:16:30
1143,1290506,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,3,3B,0788,2018-01-10T08:00:00.000Z,00:13:20
1144,1290507,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0442,2018-01-10T08:00:00.000Z,00:12:00
1145,1290510,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1134,2018-01-18T08:00:00.000Z,00:16:30
1146,1290511,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5A,1393,2018-01-10T08:00:00.000Z,00:22:00
1147,1290512,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1134,2018-01-10T08:00:00.000Z,00:16:00
1148,1290513,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3A,0704,2018-01-10T08:00:00.000Z,00:15:10
1149,1290516,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1621,2018-01-08T08:00:00.000Z,00:08:00
1150,1290517,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0773,2018-01-18T08:00:00.000Z,00:17:00
1151,1290520,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0706,2018-01-11T08:00:00.000Z,00:08:30
1152,1290521,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2A,0507,2018-01-11T08:00:00.000Z,00:09:40
1153,1290523,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,2018-01-01T08:00:00.000Z,00:17:00
1154,1290524,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5C,1606,2018-01-07T08:00:00.000Z,00:15:25
1155,1290529,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,3,3B,0738,2018-01-16T08:00:00.000Z,00:22:35
1156,1290530,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5A,1363,2018-01-09T08:00:00.000Z,00:06:00
1157,1290532,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,1121,2018-01-11T08:00:00.000Z,00:20:50
1158,1290536,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0338,2018-01-09T08:00:00.000Z,00:09:00
1159,1290539,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0748,2018-01-10T08:00:00.000Z,00:21:00
1160,1290542,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0308,2018-01-11T08:00:00.000Z,00:04:36
1161,1290543,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1A,0333,2018-01-10T08:00:00.000Z,00:21:00
1162,1290544,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0703,2018-01-15T08:00:00.000Z,00:15:37
1163,1290547,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2018-01-08T08:00:00.000Z,00:18:20
1164,1290555,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2B,0531,2018-01-05T08:00:00.000Z,00:13:35
1165,1290556,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2C,0568,2018-01-15T08:00:00.000Z,00:12:30
1166,1290557,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1447,2018-01-13T08:00:00.000Z,00:16:30
1167,1290559,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5A,1363,2018-01-10T08:00:00.000Z,00:20:30
1168,1290562,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0957,2018-01-11T08:00:00.000Z,00:11:38
1169,1290564,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0784,2018-01-11T08:00:00.000Z,00:16:45
1170,1290565,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0204,2018-01-19T08:00:00.000Z,00:01:06
1171,1290566,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2A,0512,2018-01-12T08:00:00.000Z,00:23:00
1172,1290567,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,0886,2018-01-15T08:00:00.000Z,00:21:00
1173,1290571,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,0946,2018-01-12T08:00:00.000Z,00:04:33
1174,1290572,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,0767,2018-01-14T08:00:00.000Z,00:23:00
1175,1290573,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,0935,2018-01-11T08:00:00.000Z,00:22:30
1176,1290574,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4A,0945,2018-01-11T08:00:00.000Z,00:19:00
1177,1290575,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,0706,2018-01-18T08:00:00.000Z,00:08:00
1178,1290578,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1606,2018-01-18T08:00:00.000Z,00:18:15
1179,1290581,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,4,4A,0908,2018-01-19T08:00:00.000Z,00:11:45
1180,1290582,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,5,5B,1604,2018-01-19T08:00:00.000Z,00:08:10
1181,1290583,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,3,3M,0744,2018-01-18T08:00:00.000Z,00:07:23
1182,1290584,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1399,2018-01-19T08:00:00.000Z,00:15:00
1183,1290585,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,3,3M,0745,2018-01-14T08:00:00.000Z,00:00:01
1184,1290588,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,2,2B,0525,2018-01-18T08:00:00.000Z,00:15:55
1185,1290597,7399,131,SAC CITY CODE,5.108.280 ENTERTAIN PERMIT VIO,3,3M,0741,2018-01-12T08:00:00.000Z,00:00:03
1186,1290599,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,UI,UI,UI,2018-01-09T08:00:00.000Z,00:18:46
1187,1290624,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,6,6B,1086,2018-01-19T08:00:00.000Z,00:11:11
1188,1290629,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5C,1654,2018-01-17T08:00:00.000Z,00:09:50
1189,1290630,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,4,4C,1301,2018-01-17T08:00:00.000Z,00:16:00
1190,1290635,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1B,0443,2018-01-18T08:00:00.000Z,00:20:39
1191,1290642,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0544,2018-01-16T08:00:00.000Z,00:23:41
1192,1290646,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6D,0846,2018-01-19T08:00:00.000Z,00:12:33
1193,1290649,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,1,1A,0337,2018-01-19T08:00:00.000Z,00:02:40
1194,1290650,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0545,2018-01-19T08:00:00.000Z,00:07:23
1195,1290656,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1067,2018-01-15T08:00:00.000Z,00:21:30
1196,1290657,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,4,4A,0917,2018-01-14T08:00:00.000Z,00:13:39
1197,1290658,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5A,1364,2018-01-17T08:00:00.000Z,00:15:55
1198,1290659,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0304,2018-01-08T08:00:00.000Z,00:19:49
1199,1290660,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,0947,2018-01-18T08:00:00.000Z,00:14:00
1200,1290661,2604,3,FRAUD,529.5(A) PC SELL/MAKE FALSE ID,2,2B,0563,2018-01-19T08:00:00.000Z,00:08:44
