OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date,Occurence_Time
3032,1153380,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1153,2016-01-29T08:00:00.000Z,00:18:20
3033,1153381,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,0516,2016-01-12T08:00:00.000Z,00:08:51
3034,1153382,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1084,2016-01-29T08:00:00.000Z,00:21:00
3035,1153383,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0449,2016-02-01T08:00:00.000Z,00:11:00
3036,1153384,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0521,2016-01-27T08:00:00.000Z,00:18:31
3037,1153385,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6C,1405,2016-01-29T08:00:00.000Z,00:23:00
3038,1153387,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1502,2016-01-24T08:00:00.000Z,00:22:05
3039,1153388,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0106,2016-02-01T08:00:00.000Z,00:17:00
3040,1153389,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0440,2016-01-29T08:00:00.000Z,00:22:30
3041,1153391,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6A,1042,2016-01-30T08:00:00.000Z,00:05:00
3042,1153392,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1086,2016-01-29T08:00:00.000Z,00:20:30
3043,1153394,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,3,3B,0776,2016-01-30T08:00:00.000Z,00:10:00
3044,1153397,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0546,2016-01-28T08:00:00.000Z,00:15:11
3045,1153398,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,2,2B,0541,2016-02-02T08:00:00.000Z,00:04:26
3046,1153399,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0620,2016-01-28T08:00:00.000Z,00:13:30
3047,1153400,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,5,5A,1394,2016-02-02T08:00:00.000Z,00:09:00
3048,1153401,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0563,2016-02-01T08:00:00.000Z,00:22:39
3049,1153402,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1618,2016-02-01T08:00:00.000Z,00:20:00
3050,1153403,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5B,1614,2016-01-31T08:00:00.000Z,00:08:50
3051,1153404,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1614,2016-01-31T08:00:00.000Z,00:08:30
3052,1153405,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0128,2016-01-26T08:00:00.000Z,00:11:00
3053,1153406,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0747,2016-01-29T08:00:00.000Z,00:03:00
3054,1153408,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0440,2016-01-29T08:00:00.000Z,00:17:00
3055,1153409,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6A,1053,2016-01-30T08:00:00.000Z,00:18:30
3056,1153410,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1114,2016-02-01T08:00:00.000Z,00:09:40
3057,1153411,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1264,2016-02-01T08:00:00.000Z,00:16:00
3058,1153414,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6C,1445,2016-01-31T08:00:00.000Z,00:19:00
3059,1153415,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,0602,2016-01-27T08:00:00.000Z,00:00:00
3060,1153416,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0728,2016-01-29T08:00:00.000Z,00:22:25
3061,1153417,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,1,1C,0417,2016-01-28T08:00:00.000Z,00:02:22
3062,1153419,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0564,2016-01-29T08:00:00.000Z,00:07:52
3063,1153421,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,4,4A,0923,2016-02-01T08:00:00.000Z,00:16:23
3064,1153422,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1346,2016-02-01T08:00:00.000Z,00:17:00
3065,1153426,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,1,1C,0409,2016-02-01T08:00:00.000Z,00:20:58
3066,1153427,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,4,4B,0969,2016-02-01T08:00:00.000Z,00:21:38
3067,1153429,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2A,0235,2016-02-01T08:00:00.000Z,00:08:00
3068,1153431,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,2,2A,0212,2016-02-02T08:00:00.000Z,00:00:07
3069,1153432,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,2,2B,0553,2016-01-31T08:00:00.000Z,00:10:00
3070,1153434,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0626,2016-01-30T08:00:00.000Z,00:01:00
3071,1153435,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6E,0877,2016-02-01T08:00:00.000Z,00:19:00
3072,1153436,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,4,4B,1346,2016-02-01T08:00:00.000Z,00:08:00
3073,1153440,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0821,2016-01-30T08:00:00.000Z,00:15:50
3074,1153441,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0851,2016-01-30T08:00:00.000Z,00:04:00
3075,1153443,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,0744,2016-01-31T08:00:00.000Z,00:09:00
3076,1153444,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0768,2016-01-23T08:00:00.000Z,00:11:45
3077,1153445,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1637,2016-01-31T08:00:00.000Z,00:06:00
3078,1153446,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1637,2016-01-31T08:00:00.000Z,00:17:00
3079,1153447,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0841,2016-01-30T08:00:00.000Z,00:13:45
3080,1153448,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6B,1004,2016-02-01T08:00:00.000Z,00:04:55
3081,1153449,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6B,1004,2016-02-01T08:00:00.000Z,00:07:30
3082,1153450,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0811,2016-01-30T08:00:00.000Z,00:00:15
3083,1153456,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0440,2016-01-30T08:00:00.000Z,00:22:30
3084,1153457,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,2,2C,0616,2016-01-30T08:00:00.000Z,00:18:35
3085,1153459,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0787,2016-01-26T08:00:00.000Z,00:22:00
3086,1153462,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0775,2016-01-30T08:00:00.000Z,00:23:00
3087,1153463,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0746,2016-01-30T08:00:00.000Z,00:21:55
3088,1153464,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,2016-01-15T08:00:00.000Z,00:22:45
3089,1153465,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,1,1C,0309,2016-01-31T08:00:00.000Z,00:14:50
3090,1153466,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3M,0732,2016-01-27T08:00:00.000Z,00:03:00
3091,1153468,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1422,2016-02-01T08:00:00.000Z,00:18:00
3092,1153469,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0616,2016-01-30T08:00:00.000Z,00:18:40
3093,1153470,3699,25,SEX REGISTRATI,290.015 FAIL REG-UPON REL JAIL,3,3A,0701,2016-01-22T08:00:00.000Z,00:17:00
3094,1153472,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6A,1041,2016-01-30T08:00:00.000Z,00:09:40
3095,1153473,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,2,2C,0612,2016-01-06T08:00:00.000Z,00:22:50
3096,1153474,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0955,2016-01-29T08:00:00.000Z,00:11:09
3097,1153477,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1088,2016-02-02T08:00:00.000Z,00:11:03
3098,1153478,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1287,2016-01-31T08:00:00.000Z,00:20:30
3099,1153480,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0725,2016-02-01T08:00:00.000Z,00:16:00
3100,1153484,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6B,1056,2016-01-31T08:00:00.000Z,00:19:52
3101,1153485,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1142,2016-01-30T08:00:00.000Z,00:12:15
3102,1153486,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0775,2016-01-31T08:00:00.000Z,00:16:00
3103,1153487,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0307,2016-01-31T08:00:00.000Z,00:18:00
3104,1153488,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0131,2016-01-31T08:00:00.000Z,00:18:30
3105,1153489,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4C,1253,2016-01-31T08:00:00.000Z,00:00:00
3106,1153490,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1286,2016-01-30T08:00:00.000Z,00:18:00
3107,1153492,2302,0,LARCENY,487(C) GRAND THEFT-PURSE SNTCH,4,4B,1354,2016-01-31T08:00:00.000Z,00:20:20
3108,1153493,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1645,2016-01-25T08:00:00.000Z,00:18:40
3109,1153499,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,6,6E,1101,2016-01-09T08:00:00.000Z,00:14:20
3110,1153500,1313,25,ASSAULT,368(C) CAUSE PAIN/INJ TO ELDER,1,1B,0444,2016-02-01T08:00:00.000Z,00:23:58
3111,1153506,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6A,1052,2016-02-01T08:00:00.000Z,00:08:30
3112,1153509,5012,2,OBST JUDICIARY,PROBATION VIOLATION-FELONY,6,6B,1007,2016-02-02T08:00:00.000Z,00:01:45
3113,1153510,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0449,2016-01-29T08:00:00.000Z,00:11:12
3114,1153515,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0782,2016-01-29T08:00:00.000Z,00:03:00
3115,1153516,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0473,2016-02-01T08:00:00.000Z,00:04:30
3116,1153517,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0327,2016-01-26T08:00:00.000Z,00:09:15
3117,1153518,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4A,0923,2016-02-02T08:00:00.000Z,00:05:22
3118,1153519,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1152,2016-02-01T08:00:00.000Z,00:10:00
3119,1153520,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0620,2016-01-29T08:00:00.000Z,00:17:40
3120,1153521,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0787,2016-01-26T08:00:00.000Z,00:11:15
3121,1153522,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0626,2016-01-29T08:00:00.000Z,00:22:20
3122,1153523,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,0832,2016-01-30T08:00:00.000Z,00:22:30
3123,1153524,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3A,0715,2016-01-30T08:00:00.000Z,00:02:30
3124,1153525,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0340,2016-02-01T08:00:00.000Z,00:03:30
3125,1153528,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0725,2016-02-01T08:00:00.000Z,00:05:00
3126,1153529,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,5,5C,1634,2016-01-31T08:00:00.000Z,00:02:00
3127,1153530,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,5,5A,1365,2016-01-30T08:00:00.000Z,00:09:00
3128,1153531,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1639,2016-02-01T08:00:00.000Z,00:09:45
3129,1153532,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0605,2016-01-31T08:00:00.000Z,00:22:30
3130,1153533,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0906,2016-01-29T08:00:00.000Z,00:17:47
3131,1153534,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0775,2016-01-28T08:00:00.000Z,00:19:30
3132,1153537,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,0212,2016-01-30T08:00:00.000Z,00:17:00
3133,1153538,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6A,1013,2016-01-29T08:00:00.000Z,00:13:27
3134,1153539,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0401,2016-02-01T08:00:00.000Z,00:18:20
3135,1153540,3699,25,SEX REGISTRATI,290.015 FAIL REG-UPON REL JAIL,3,3A,0701,2016-01-22T08:00:00.000Z,00:16:00
3136,1153541,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0419,2016-01-29T08:00:00.000Z,00:19:24
3137,1153542,2501,01,FORGERY,476 PC PASS FICTICIOUS CHECK,UI,UI,UI,2016-02-01T08:00:00.000Z,00:08:45
3138,1153543,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,1,1A,0337,2016-02-01T08:00:00.000Z,00:19:24
3139,1153544,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,6,6B,1084,2016-01-31T08:00:00.000Z,00:13:43
3140,1153545,2399,2,LARCENY,484 PC PETTY THEFT,6,6A,1052,2016-02-02T08:00:00.000Z,00:06:00
3141,1153546,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0409,2016-01-29T08:00:00.000Z,00:22:12
3142,1153549,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0435,2016-02-02T08:00:00.000Z,00:01:55
3143,1153551,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4C,1269,2016-01-30T08:00:00.000Z,00:02:55
3144,1153552,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6D,0823,2016-01-29T08:00:00.000Z,00:15:05
3145,1153553,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0824,2016-02-01T08:00:00.000Z,00:18:35
3146,1153554,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0928,2016-02-01T08:00:00.000Z,00:20:53
3147,1153556,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0765,2016-01-29T08:00:00.000Z,00:23:30
3148,1153557,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0337,2016-01-21T08:00:00.000Z,00:15:00
3149,1153558,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0786,2016-01-19T08:00:00.000Z,00:07:15
3150,1153559,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0732,2016-02-02T08:00:00.000Z,00:09:15
3151,1153560,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0304,2016-01-31T08:00:00.000Z,00:02:00
3152,1153561,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,5,5C,1644,2016-02-02T08:00:00.000Z,00:11:18
3153,1153562,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1286,2016-01-29T08:00:00.000Z,00:00:00
3154,1153565,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0965,2016-01-31T08:00:00.000Z,00:07:12
3155,1153568,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,0748,2016-02-02T08:00:00.000Z,00:02:00
3156,1153573,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1001,2016-02-02T08:00:00.000Z,00:06:00
3157,1153577,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2A,0224,2016-02-01T08:00:00.000Z,00:08:04
3158,1153579,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0786,2016-02-01T08:00:00.000Z,00:09:00
3159,1153585,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6B,1018,2016-01-22T08:00:00.000Z,00:10:30
3160,1153586,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,5,5C,1624,2016-02-01T08:00:00.000Z,00:15:04
3161,1153587,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0732,2016-02-02T08:00:00.000Z,00:10:28
3162,1153588,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,6,6A,1022,2016-02-02T08:00:00.000Z,00:12:44
3163,1153590,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0976,2016-01-25T08:00:00.000Z,00:11:00
3164,1153594,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,2,2C,0620,2016-02-01T08:00:00.000Z,00:15:15
3165,1153595,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2016-02-01T08:00:00.000Z,00:21:45
3166,1153596,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6B,1084,2016-01-11T08:00:00.000Z,00:12:34
3167,1153598,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6E,1116,2016-02-02T08:00:00.000Z,00:16:25
3168,1153599,5212,69,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-M,6,6A,1042,2016-01-31T08:00:00.000Z,00:22:26
3169,1153600,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6C,1121,2016-01-31T08:00:00.000Z,00:13:43
3170,1153601,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0542,2016-01-25T08:00:00.000Z,00:13:27
3171,1153602,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1B,0401,2016-01-31T08:00:00.000Z,00:16:31
3172,1153603,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0537,2016-01-26T08:00:00.000Z,00:12:02
3173,1153605,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,1,1A,0106,2016-02-02T08:00:00.000Z,00:08:25
3174,1153606,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,3,3M,0732,2016-02-02T08:00:00.000Z,00:12:52
3175,1153607,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0742,2016-02-02T08:00:00.000Z,00:14:16
3176,1153608,4801,5,OBSTRUCTING,69 PC RESIST/OBSTRCT EXEC OFC,1,1B,0412,2016-02-02T08:00:00.000Z,00:14:40
3177,1153609,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0705,2016-01-18T08:00:00.000Z,00:01:19
3178,1153611,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,1,1B,0412,2016-01-25T08:00:00.000Z,00:18:46
3179,1153614,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1064,2016-02-02T08:00:00.000Z,00:18:29
3180,1153615,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2A,0511,2016-01-29T08:00:00.000Z,00:22:47
3181,1153616,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2C,0616,2016-02-02T08:00:00.000Z,00:17:00
3182,1153617,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,3,3M,0734,2016-02-02T08:00:00.000Z,00:16:03
3183,1153618,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,1,1B,0443,2016-02-02T08:00:00.000Z,00:09:01
3184,1153619,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,4,4B,1354,2016-02-01T08:00:00.000Z,00:12:44
3185,1153620,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3A,0702,2016-01-12T08:00:00.000Z,00:08:00
3186,1153621,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1C,0428,2016-02-01T08:00:00.000Z,00:13:15
3187,1153622,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4B,0987,2016-01-30T08:00:00.000Z,00:11:33
3188,1153623,5212,43,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,4,4C,1279,2016-02-02T08:00:00.000Z,00:11:16
3189,1153625,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0628,2016-01-29T08:00:00.000Z,00:17:52
3190,1153626,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6E,0888,2016-01-27T08:00:00.000Z,00:00:30
3191,1153628,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6C,1441,2016-01-28T08:00:00.000Z,00:18:25
3192,1153629,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,3,3M,0744,2016-01-27T08:00:00.000Z,00:07:45
3193,1153632,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1C,0309,2016-01-31T08:00:00.000Z,00:22:25
3194,1153635,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,5,5C,1623,2016-02-02T08:00:00.000Z,00:19:24
3195,1153636,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1287,2016-02-02T08:00:00.000Z,00:16:30
3196,1153637,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0401,2016-02-02T08:00:00.000Z,00:09:00
3197,1153638,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,5,5B,1621,2016-02-02T08:00:00.000Z,00:18:09
3198,1153639,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1401,2016-02-01T08:00:00.000Z,00:22:15
3199,1153640,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,1,1A,0136,2016-01-18T08:00:00.000Z,00:17:06
3200,1153643,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0625,2016-01-30T08:00:00.000Z,00:17:00
